Start,Close
2025-01-14,96534.05
2025-01-13,94516.52
2025-01-12,94488.44
2025-01-11,94566.59
2025-01-10,94701.45
2025-01-09,92484.04
2025-01-08,95043.52
2025-01-07,96922.7
2025-01-06,102078.09
2025-01-05,98314.96
2025-01-04,98236.23
2025-01-03,98107.43
2025-01-02,96886.88
2025-01-01,94419.76
2024-12-31,93429.2
2024-12-30,92643.21
2024-12-29,93530.23
2024-12-28,95163.93
2024-12-27,94164.86
2024-12-26,95830.42
2024-12-25,99436.0
2024-12-24,98805.9
2024-12-23,94748.02
2024-12-22,95136.87
2024-12-21,97253.03
2024-12-20,97691.36
2024-12-19,97874.66
2024-12-18,100368.0
2024-12-17,106052.0
2024-12-16,106010.0
2024-12-15,104621.0
2024-12-14,101364.0
2024-12-13,101371.0
2024-12-12,100041.0
2024-12-11,101074.0
2024-12-10,96628.01
2024-12-09,97422.43
2024-12-08,101215.0
2024-12-07,99699.99
2024-12-06,99798.48
2024-12-05,97013.92
2024-12-04,98730.99
2024-12-03,95970.93
2024-12-02,95807.6
2024-12-01,97236.3
2024-11-30,96436.01
2024-11-29,97383.7
2024-11-28,95632.03
2024-11-27,95899.86
2024-11-26,91993.22
2024-11-25,93079.67
2024-11-24,97867.46
2024-11-23,97628.02
2024-11-22,98851.49
2024-11-21,98425.93
2024-11-20,94174.71
2024-11-19,92119.47
2024-11-18,90549.34
2024-11-17,89763.59
2024-11-16,90543.67
2024-11-15,90949.94
2024-11-14,87347.45
2024-11-13,90300.02
2024-11-12,88164.77
2024-11-11,88627.98
2024-11-10,80409.97
2024-11-09,76615.99
2024-11-08,76544.78
2024-11-07,75919.31
2024-11-06,75567.57
2024-11-05,69348.54
2024-11-04,67792.92
2024-11-03,68832.86
2024-11-02,69319.96
2024-11-01,69531.96
2024-10-31,70340.01
2024-10-30,72359.86
2024-10-29,72782.82
2024-10-28,69892.45
2024-10-27,68029.34
2024-10-26,67102.01
2024-10-25,66637.8
2024-10-24,68234.05
2024-10-23,66745.54
2024-10-22,67393.99
2024-10-21,67440.04
2024-10-20,68987.76
2024-10-19,68394.04
2024-10-18,68465.29
2024-10-17,67363.67
2024-10-16,67657.43
2024-10-15,66984.04
2024-10-14,66085.97
2024-10-13,62806.34
2024-10-12,63216.04
2024-10-11,62410.61
2024-10-10,60260.02
2024-10-09,60647.99
2024-10-08,62215.97
2024-10-07,62300.75
2024-10-06,62823.43
2024-10-05,62084.0
2024-10-04,62110.02
2024-10-03,60776.01
2024-10-02,60670.03
2024-10-01,60888.04
2024-09-30,63290.0
2024-09-29,65668.25
2024-09-28,65923.99
2024-09-27,65762.47
2024-09-26,65142.08
2024-09-25,63165.61
2024-09-24,64335.62
2024-09-23,63332.69
2024-09-22,63575.97
2024-09-21,63389.92
2024-09-20,63102.03
2024-09-19,62953.98
2024-09-18,61449.14
2024-09-17,60303.5
2024-09-16,58229.2
2024-09-15,59198.11
2024-09-14,59987.93
2024-09-13,60575.47
2024-09-12,58116.05
2024-09-11,57364.02
2024-09-10,57627.99
2024-09-09,57031.98
2024-09-08,54823.96
2024-09-07,54188.32
2024-09-06,53922.68
2024-09-05,56170.04
2024-09-04,57984.05
2024-09-03,57544.01
2024-09-02,59127.62
2024-09-01,57341.08
2024-08-31,58965.98
2024-08-30,59158.0
2024-08-29,59348.98
2024-08-28,59034.65
2024-08-27,59503.05
2024-08-26,62866.04
2024-08-25,64279.03
2024-08-24,64107.98
2024-08-23,63979.97
2024-08-22,60386.02
2024-08-21,61109.99
2024-08-20,59056.01
2024-08-19,59562.71
2024-08-18,58525.95
2024-08-17,59420.03
2024-08-16,58902.1
2024-08-15,57600.0
2024-08-14,58730.93
2024-08-13,60565.01
2024-08-12,59342.02
2024-08-11,58819.99
2024-08-10,60875.98
2024-08-09,60848.51
2024-08-08,61837.93
2024-08-07,55024.11
2024-08-06,55982.04
2024-08-05,54006.0
2024-08-04,58074.85
2024-08-03,60760.03
2024-08-02,61487.05
2024-08-01,65409.83
2024-07-31,64665.98
2024-07-30,66244.03
2024-07-29,66810.03
2024-07-28,68234.91
2024-07-27,68045.98
2024-07-26,67914.02
2024-07-25,65750.02
2024-07-24,65412.03
2024-07-23,65914.55
2024-07-22,67587.97
2024-07-21,68071.99
2024-07-20,67182.45
2024-07-19,66648.03
2024-07-18,63966.13
2024-07-17,64120.47
2024-07-16,65119.1
2024-07-15,64819.37
2024-07-14,60946.02
2024-07-13,59174.19
2024-07-12,57899.96
2024-07-11,57381.96
2024-07-10,57719.47
2024-07-09,57995.99
2024-07-08,56681.81
2024-07-07,55878.38
2024-07-06,58232.99
2024-07-05,56691.34
2024-07-04,57142.0
2024-07-03,60294.75
2024-07-02,62127.95
2024-07-01,62889.92
2024-06-30,62849.53
2024-06-29,60964.17
2024-06-28,60427.86
2024-06-27,61646.05
2024-06-26,60761.24
2024-06-25,61789.98
2024-06-24,60382.81
2024-06-23,63290.43
2024-06-22,64272.8
2024-06-21,64097.29
2024-06-20,64881.08
2024-06-19,64950.06
2024-06-18,65098.92
2024-06-17,66491.14
2024-06-16,66661.05
2024-06-15,66198.06
2024-06-14,66052.46
2024-06-13,66771.55
2024-06-12,68270.22
2024-06-11,67345.04
2024-06-10,69519.27
2024-06-09,69657.34
2024-06-08,69316.65
2024-06-07,69375.8
2024-06-06,70783.1
2024-06-05,71131.93
2024-06-04,70599.0
2024-06-03,68808.7
2024-06-02,67781.47
2024-06-01,67747.95
2024-05-31,67576.21
2024-05-30,68375.98
2024-05-29,67665.53
2024-05-28,68397.44
2024-05-27,69446.22
2024-05-26,68552.6
2024-05-25,69264.99
2024-05-24,68534.95
2024-05-23,67923.97
2024-05-22,69224.99
2024-05-21,70104.4
2024-05-20,71418.17
2024-05-19,66347.05
2024-05-18,66914.58
2024-05-17,67004.04
2024-05-16,65249.97
2024-05-15,66247.62
2024-05-14,61602.22
2024-05-13,62917.18
2024-05-12,61549.96
2024-05-11,60784.24
2024-05-10,60887.95
2024-05-09,63110.01
2024-05-08,61220.05
2024-05-07,62380.43
2024-05-06,63197.19
2024-05-05,64040.05
2024-05-04,63880.04
2024-05-03,62799.97
2024-05-02,59134.5
2024-05-01,58266.04
2024-04-30,60761.95
2024-04-29,63817.97
2024-04-28,63059.25
2024-04-27,63483.13
2024-04-26,63806.23
2024-04-25,64495.27
2024-04-24,64291.07
2024-04-23,66386.61
2024-04-22,66818.89
2024-04-21,64896.87
2024-04-20,64857.99
2024-04-19,63965.95
2024-04-18,63418.0
2024-04-17,61309.97
2024-04-16,63679.78
2024-04-15,63496.91
2024-04-14,65582.95
2024-04-13,64255.94
2024-04-12,67208.21
2024-04-11,70112.05
2024-04-10,70513.6
2024-04-09,69198.22
2024-04-08,71631.77
2024-04-07,69388.74
2024-04-06,68904.86
2024-04-05,67928.77
2024-04-04,68461.23
2024-04-03,66074.16
2024-04-02,65448.35
2024-04-01,69731.26
2024-03-31,71216.98
2024-03-30,69674.78
2024-03-29,69850.52
2024-03-28,70702.74
2024-03-27,69529.85
2024-03-26,70059.97
2024-03-25,69901.99
